"Date","Price","Open","High","Low","Vol.","Change %"
"11/18/2019","17.000","16.950","17.030","16.705","94.06K","0.31%"
"11/15/2019","16.948","17.000","17.010","16.780","66.80K","-0.47%"
"11/14/2019","17.028","16.930","17.080","16.845","79.01K","0.68%"
"11/13/2019","16.913","16.720","17.000","16.720","99.84K","1.32%"
"11/12/2019","16.692","16.785","16.875","16.615","93.98K","-0.65%"
"11/11/2019","16.802","16.755","16.910","16.630","90.42K","-0.12%"
"11/08/2019","16.823","17.070","17.095","16.660","135.57K","-1.10%"
"11/07/2019","17.010","17.605","17.645","16.910","166.41K","-3.34%"
"11/06/2019","17.598","17.555","17.630","17.360","101.43K","0.17%"
"11/05/2019","17.568","18.060","18.085","17.520","141.97K","-2.76%"
"11/04/2019","18.066","18.125","18.230","17.960","78.10K","0.08%"
"11/01/2019","18.052","18.120","18.160","17.935","89.93K","-0.08%"
"10/31/2019","18.067","17.895","18.185","17.795","103.41K","1.12%"
"10/30/2019","17.867","17.820","17.965","17.590","84.39K","0.20%"
"10/29/2019","17.831","17.870","17.905","17.605","78.57K","-0.25%"
"10/28/2019","17.876","18.065","18.145","17.785","81.92K","-0.28%"
"10/25/2019","17.926","17.835","18.350","17.800","133.99K","0.69%"
"10/24/2019","17.804","17.575","17.860","17.485","76.01K","1.27%"
"10/23/2019","17.580","17.550","17.630","17.515","51.19K","0.46%"
"10/22/2019","17.500","17.580","17.680","17.440","56.64K","-0.58%"
"10/21/2019","17.602","17.615","17.895","17.530","76.35K","0.14%"
"10/18/2019","17.578","17.570","17.620","17.420","48.12K","-0.19%"
"10/17/2019","17.612","17.415","17.665","17.330","62.37K","1.06%"
"10/16/2019","17.427","17.430","17.490","17.180","80.64K","0.25%"
"10/15/2019","17.384","17.695","17.765","17.370","71.96K","-1.84%"
"10/14/2019","17.710","17.590","17.735","17.455","48.68K","0.95%"
"10/11/2019","17.544","17.540","17.785","17.370","102.67K","-0.33%"
"10/10/2019","17.602","17.800","17.935","17.455","93.95K","-1.17%"
"10/09/2019","17.810","17.775","18.000","17.720","67.68K","0.62%"
"10/08/2019","17.700","17.490","17.860","17.305","91.07K","0.91%"
"10/07/2019","17.540","17.665","17.700","17.435","35.22K","-0.48%"
"10/04/2019","17.625","17.630","17.745","17.330","59.58K","-0.29%"
"10/03/2019","17.676","17.630","17.845","17.515","70.00K","-0.04%"
"10/02/2019","17.683","17.310","17.730","17.240","70.48K","2.20%"
"10/01/2019","17.302","17.045","17.375","16.940","82.42K","1.79%"
"09/30/2019","16.998","17.590","17.660","16.980","96.15K","-3.70%"
"09/27/2019","17.652","17.885","17.960","17.345","134.22K","-1.45%"
"09/26/2019","17.912","17.990","18.110","17.785","110.04K","-0.89%"
"09/25/2019","18.073","18.680","18.750","17.875","132.58K","-2.98%"
"09/24/2019","18.628","18.655","18.810","18.315","132.63K","-0.44%"
"09/23/2019","18.711","18.030","18.780","17.990","129.34K","4.83%"
"09/20/2019","17.849","17.870","18.060","17.810","59.13K","-0.20%"
"09/19/2019","17.884","17.845","18.015","17.655","65.97K","-0.20%"
"09/18/2019","17.919","18.095","18.120","17.580","100.53K","-1.22%"
"09/17/2019","18.140","17.925","18.170","17.820","88.43K","0.63%"
"09/16/2019","18.026","17.755","18.075","17.690","108.43K","2.60%"
"09/13/2019","17.569","18.155","18.265","17.470","106.47K","-3.34%"
"09/12/2019","18.177","18.200","18.555","18.085","99.70K","0.04%"
"09/11/2019","18.170","18.095","18.335","17.970","84.66K","-0.09%"
"09/10/2019","18.186","18.090","18.265","17.855","116.63K","0.10%"
"09/09/2019","18.167","18.215","18.400","18.015","135.35K","0.26%"
"09/06/2019","18.119","18.715","18.890","18.045","221.80K","-3.66%"
"09/05/2019","18.807","19.645","19.675","18.570","194.13K","-3.79%"
"09/04/2019","19.547","19.350","19.750","19.280","156.69K","1.61%"
"09/02/2019","19.237","18.520","19.395","18.365","199.68K","4.88%"
"08/30/2019","18.342","18.365","18.575","18.165","115.42K","0.10%"
"08/29/2019","18.323","18.450","18.760","18.150","161.56K","0.03%"
"08/28/2019","18.318","18.145","18.475","18.025","97.74K","0.91%"
"08/27/2019","18.153","17.640","18.185","17.610","107.65K","2.90%"
"08/26/2019","17.641","17.500","17.755","17.495","108.83K","1.31%"
"08/23/2019","17.413","17.030","17.465","16.960","112.35K","2.19%"
"08/22/2019","17.040","17.115","17.130","16.915","70.97K","-0.65%"
"08/21/2019","17.151","17.125","17.180","16.975","70.32K","0.02%"
"08/20/2019","17.148","16.870","17.170","16.830","72.36K","1.23%"
"08/19/2019","16.940","17.125","17.175","16.820","80.55K","-1.06%"
"08/16/2019","17.122","17.250","17.315","17.030","71.92K","-0.53%"
"08/15/2019","17.214","17.190","17.370","17.075","96.52K","-0.38%"
"08/14/2019","17.280","16.950","17.305","16.855","116.02K","1.74%"
"08/13/2019","16.985","17.060","17.490","16.510","182.99K","-0.50%"
"08/12/2019","17.071","16.965","17.150","16.800","83.99K","0.83%"
"08/09/2019","16.931","16.940","17.140","16.860","98.62K","-0.03%"
"08/08/2019","16.936","17.100","17.225","16.810","124.04K","-1.51%"
"08/07/2019","17.196","16.450","17.260","16.450","174.98K","4.57%"
"08/06/2019","16.445","16.440","16.530","16.365","71.82K","0.32%"
"08/05/2019","16.393","16.260","16.590","16.135","114.33K","0.76%"
"08/02/2019","16.270","16.355","16.385","16.030","100.15K","0.56%"
"08/01/2019","16.180","16.280","16.405","15.935","122.90K","-1.37%"
"07/31/2019","16.405","16.585","16.600","16.215","107.09K","-0.92%"
"07/30/2019","16.558","16.500","16.640","16.425","57.74K","0.72%"
"07/29/2019","16.440","16.420","16.500","16.360","62.06K","0.26%"
"07/26/2019","16.397","16.455","16.550","16.355","80.58K","-0.09%"
"07/25/2019","16.411","16.620","16.685","16.345","121.09K","-1.29%"
"07/24/2019","16.626","16.435","16.680","16.350","84.63K","0.91%"
"07/23/2019","16.476","16.380","16.575","16.205","111.41K","0.40%"
"07/22/2019","16.411","16.255","16.455","16.195","98.27K","1.33%"
"07/19/2019","16.195","16.385","16.625","16.080","173.87K","-0.02%"
"07/18/2019","16.198","16.005","16.385","15.960","149.09K","1.42%"
"07/17/2019","15.971","15.585","16.030","15.555","111.24K","1.87%"
"07/16/2019","15.678","15.415","15.735","15.340","128.87K","2.04%"
"07/15/2019","15.365","15.240","15.430","15.185","67.64K","0.85%"
"07/12/2019","15.236","15.135","15.270","15.070","49.16K","0.59%"
"07/11/2019","15.146","15.265","15.345","15.120","60.63K","-0.53%"
"07/10/2019","15.226","15.135","15.315","15.070","73.72K","0.52%"
"07/09/2019","15.147","15.035","15.155","14.965","49.64K","0.64%"
"07/08/2019","15.050","15.050","15.150","14.985","47.62K","0.33%"
"07/04/2019","15.001","15.365","15.370","14.915","109.25K","-2.18%"
"07/03/2019","15.336","15.370","15.510","15.240","66.80K","0.64%"
"07/02/2019","15.238","15.160","15.365","15.070","71.31K","0.30%"
"07/01/2019","15.193","15.315","15.345","15.155","70.00K","-0.96%"
"06/28/2019","15.341","15.300","15.385","15.245","57.10K","0.31%"
"06/27/2019","15.294","15.340","15.355","15.205","74.82K","0.00%"
"06/26/2019","15.294","15.345","15.355","15.160","93.66K","-0.04%"
